subsystem,reaction
B3GALT3g,B3GALT3g
B3GALT42g,B3GALT42g
B3GALTg,B3GALTg
B3GNT11g,B3GNT11g
B3GNT310g,B3GNT310g
B3GNT315g,B3GNT315g
B3GNT31g,B3GNT31g
B3GNT34g,B3GNT34g
B3GNT37g,B3GNT37g
B3GNT39g,B3GNT39g
B3GNT51g,B3GNT51g
BAAT1x,BAAT1x
BAAT3x,BAAT3x
BACCL,BACCL
BALAVECSEC_1,BALAVECSEC_1
BDHm,BDHm
BETALDHxm,BETALDHxm
BHBtm,BHBtm
BHMT,BHMT
BILDGLCURt,BILDGLCURt
BTNDm,BTNDm
BTNPL,BTNPL
BTNt2m,BTNt2m
BTNt3i_1,BTNt3i_1
BVITEt,BVITEt
BZtr,BZtr
C160CPT1,C160CPT1
C160CPT2,C160CPT2
C160CRNt,C160CRNt
C161CPT1,C161CPT1
C161CPT12,C161CPT12
C161CPT2,C161CPT2
C161CRN2t,C161CRN2t
C161CRNt,C161CRNt
C180CPT1,C180CPT1
C181CPT1,C181CPT1
C181CRNt,C181CRNt
C204CPT1,C204CPT1
C204CPT2,C204CPT2
C226COAtx,C226COAtx
C226CPT1,C226CPT1
C226CPT2,C226CPT2
C226CRNt,C226CRNt
C3STDH1r,C3STDH1r
C4STMO1r,C4STMO1r
C4STMO2Pr,C4STMO2Pr
CAATPS_1,CAATPS_1
CAROtr,CAROtr
CAt7r,CAt7r
CATm,CATm
CATp,CATp
CBL2tm,CBL2tm
CBPPer,CBPPer
CBR2,CBR2
CDIPTr,CDIPTr
CDPDAGtm,CDPDAGtm
CDS,CDS
CERT1gt,CERT1gt
CERT1rt,CERT1rt
CERT2rt,CERT2rt
CH25H,CH25H
CHATn,CHATn
CHLP,CHLP
CHOLD2m,CHOLD2m
CHOLK,CHOLK
CHOLPtl,CHOLPtl
CHOLtn,CHOLtn
CHOLtr,CHOLtr
CHSTEROLt3,CHSTEROLt3
CITRtm,CITRtm
CITtam,CITtam
CK_cho,CK_cho
CLHCO3tex2,CLHCO3tex2
CLOXAtex2,CLOXAtex2
CLPNDCOAtx,CLPNDCOAtx
CLPNDCPT1,CLPNDCPT1
CLPNDt,CLPNDt
CMPACNAtn,CMPACNAtn
ACNMCT,ACNMCT
CO2tg,CO2tg
CO2tm,CO2tm
COAtim,COAtim
COKECBESr,COKECBESr
COQ3m,COQ3m
COQ6m,COQ6m
COQ7m,COQ7m
CORE3GTg,CORE3GTg
CORE6GTg,CORE6GTg
CORE7GTg,CORE7GTg
CREATt4_2_r,CREATt4_2_r
CREATtmdiffir,CREATtmdiffir
CRMPte,CRMPte
CRNCAR3tp,CRNCAR3tp
CRNCARtp,CRNCARtp
CRNt,CRNt
CRNtHa,CRNtHa
CRNtuNa,CRNtuNa
CRTNsyn_cho,CRTNsyn_cho
CRTSLt,CRTSLt
CRTSLtm,CRTSLtm
CRTSLtr,CRTSLtr
CRVNCtr,CRVNCtr
CSAPASEly,CSAPASEly
CSCPASEly,CSCPASEly
CSEPASEly,CSEPASEly
CSNAT2m,CSNAT2m
CSNAT2x,CSNAT2x
CSNAT3x,CSNAT3x
CSNATm,CSNATm
CSNATp,CSNATp
CSNATr,CSNATr
CSPG_Atly,CSPG_Atly
CSPG_Ct,CSPG_Ct
CSPG_Ctly,CSPG_Ctly
CSPG_Dt,CSPG_Dt
CSPG_Dtly,CSPG_Dtly
CTPtn,CTPtn
CYANt,CYANt
CYANtm,CYANtm
CYSALANaEx,CYSALANaEx
CYSASNNaEx,CYSASNNaEx
CYSGLYex,CYSGLYex
CYSO,CYSO
CYSSERNaEx,CYSSERNaEx
CYStec,CYStec
CYSTGLUex,CYSTGLUex
CYTD,CYTD
CYTDn,CYTDn
CYTDt,CYTDt
CYTDtl,CYTDtl
CYTK12,CYTK12
CYTK12n,CYTK12n
CYTK13n,CYTK13n
CYTK14,CYTK14
CYTK1m,CYTK1m
CYTK2n,CYTK2n
CYTK3,CYTK3
CYTK4,CYTK4
CYTK5n,CYTK5n
CPK1,CPK1
CYTK6n,CYTK6n
CYTK7,CYTK7
CYTK7n,CYTK7n
CYTK8,CYTK8
CYTK8n,CYTK8n
DADNK,DADNK
DAG_HSter,DAG_HSter
DAGK_hs,DAGK_hs
DARGOp,DARGOp
DASCBH,DASCBH
DASPO1p,DASPO1p
DATPtn,DATPtn
DCK1m,DCK1m
DCK1n,DCK1n
DLNLCGCPT2,DLNLCGCPT2
DCSPTN1CPT1,DCSPTN1CPT1
DCSPTN1CRNt,DCSPTN1CRNt
DCSPTN1t,DCSPTN1t
DCTPtn,DCTPtn
DCYTD,DCYTD
