subsystem,reaction
LPS7e,LPS7e
PCHOLOLE_HSPLA2,PCHOLOLE_HSPLA2
PEOLE_HSPLA2,PEOLE_HSPLA2
PCHOLPALME_HSPLA2,PCHOLPALME_HSPLA2
PAILPALM_HSPLA2,PAILPALM_HSPLA2
ESTRAABCtc,ESTRAABCtc
PCHOL2LINL_HSPLA2,PCHOL2LINL_HSPLA2
PE2LINL_HSPLA2,PE2LINL_HSPLA2
PCHOLN225_HSPLA2,PCHOLN225_HSPLA2
PCHOLN2254_HSPLA2,PCHOLN2254_HSPLA2
PEAR_HSPLA2,PEAR_HSPLA2
PCHOL2PALM_HSPLA2,PCHOL2PALM_HSPLA2
PCHOLAR_HSPLA2,PCHOLAR_HSPLA2
PCHOLN1836_HSPLA2,PCHOLN1836_HSPLA2
PE203_HSPLA2,PE203_HSPLA2
PE226_HSPLA2,PE226_HSPLA2
PE224_HSPLA2,PE224_HSPLA2
PEDH12_HSPLA2,PEDH12_HSPLA2
PEDH13_HSPLA2,PEDH13_HSPLA2
PEDH15_HSPLA2,PEDH15_HSPLA2
PCHOLN203_HSPLA2,PCHOLN203_HSPLA2
ARACHETH,ARACHETH
BILIVERDt,BILIVERDt
PCHOLN24_HSPLA2,PCHOLN24_HSPLA2
PCHOLN261_HSPLA2,PCHOLN261_HSPLA2
ESTRSABCtc,ESTRSABCtc
PCHOLN281_HSPLA2,PCHOLN281_HSPLA2
C02356t,C02356t
PCHOLDOC_HSPLA2,PCHOLDOC_HSPLA2
PCHOLDET_HSPLA2,PCHOLDET_HSPLA2
PCHOLHEP_HSPLA2,PCHOLHEP_HSPLA2
PELINL_HSPLA2,PELINL_HSPLA2
C02712te,C02712te
C02712tm,C02712tm
FOLABCCte,FOLABCCte
C03990tr,C03990tr
FOLOAT2tc,FOLOAT2tc
C03990tx,C03990tx
C04483t2,C04483t2
C04717ATP,C04717ATP
FACOAE160,FACOAE160
GPDDACHOL,GPDDACHOL
ACLYSHYc,ACLYSHYc
EX_3mtp_e,EX_3mtp_e
ELAIDCRNte,ELAIDCRNte
GLYC2P3Pc,GLYC2P3Pc
LNLCCRNNAt,LNLCCRNNAt
PHLACHt,PHLACHt
C04805td,C04805td
C05463t1,C05463t1
C05463t2,C05463t2
C05953t,C05953t
C06314t,C06314t
C06439t,C06439t
12HPETATP,12HPETATP
15HPETATP,15HPETATP
C11695td,C11695td
21HPRGNLONEt1,21HPRGNLONEt1
C14768td,C14768td
2OXOADPt,2OXOADPt
GABABGTtc,GABABGTtc
3HPPNOHGLUCte,3HPPNOHGLUCte
GLUB0AT3tc,GLUB0AT3tc
3HPPt,3HPPt
3MHISt1,3MHISt1
3MHISt2,3MHISt2
3MOXTYRt,3MOXTYRt
3UIBtd,3UIBtd
56DTHMt,56DTHMt
EX_C14769_e,EX_C14769_e
C14770ATP,C14770ATP
C14826ATP,C14826ATP
CE0328t,CE0328t
56DURAtd,56DURAtd
7DHCHSTEROLtd,7DHCHSTEROLtd
CE1243ATP,CE1243ATP
GLYB0AT3tc,GLYB0AT3tc
CE1556td,CE1556td
CE2028t,CE2028t
ACGLUtd,ACGLUtd
ACGLYte,ACGLYte
ACORNt,ACORNt
NRVNCt,NRVNCt
CE4843td,CE4843td
ACTHRtc,ACTHRtc
CE6247t,CE6247t
H2OGLYAQPt,H2OGLYAQPt
CE7083t,CE7083t
ACTHRte,ACTHRte
AND19ONEt,AND19ONEt
CE7172ATP,CE7172ATP
ILEB0AT3tc,ILEB0AT3tc
DOCOHEXETHc,DOCOHEXETHc
DOCTETETH,DOCTETETH
LEUB0AT3tc,LEUB0AT3tc
DODECANACt,DODECANACt
DODECANACtd,DODECANACtd
EX_56dthm_e,EX_56dthm_e
EX_56dura_e,EX_56dura_e
EX_5HPET_e,EX_5HPET_e
EX_acthr__L_e,EX_acthr__L_e
EX_adpoh_e,EX_adpoh_e
EX_amet_e,EX_amet_e
ELAIDCRNtd,ELAIDCRNtd
EX_15HPET_e,EX_15HPET_e
EX_15kprostgf2_e,EX_15kprostgf2_e
EX_21hprgnlone_e,EX_21hprgnlone_e
EX_3hmp_e,EX_3hmp_e
EX_3mhis_e,EX_3mhis_e
EX_and19one_e,EX_and19one_e
EX_aracheth_e,EX_aracheth_e
EX_C02356_e,EX_C02356_e
EX_C02712_e,EX_C02712_e
EX_C04717_e,EX_C04717_e
LGNCFATPtc,LGNCFATPtc
EX_C05957_e,EX_C05957_e
METB0AT3tc,METB0AT3tc
EX_C06314_e,EX_C06314_e
EX_pcholet_hs_e,EX_pcholet_hs_e
EX_C14771_e,EX_C14771_e
NACSMCTte,NACSMCTte
EX_CE1273_e,EX_CE1273_e
EX_CE2176_e,EX_CE2176_e
EX_pcholn201_hs_e,EX_pcholn201_hs_e
EX_pcholn205_hs_e,EX_pcholn205_hs_e
EX_pcholn226_hs_e,EX_pcholn226_hs_e
EX_pcholn24_hs_e,EX_pcholn24_hs_e
EX_eidi1114ac_e,EX_eidi1114ac_e
PGLYCABCte,PGLYCABCte
EX_CE6031_e,EX_CE6031_e
EX_CE7082_e,EX_CE7082_e
EX_pcholn261_hs_e,EX_pcholn261_hs_e
EX_pcholpalm_hs_e,EX_pcholpalm_hs_e
EX_pe14_hs_e,EX_pe14_hs_e
EX_pe15_hs_e,EX_pe15_hs_e
EX_pe161_hs_e,EX_pe161_hs_e
EX_pe203_hs_e,EX_pe203_hs_e
EX_pe226_hs_e,EX_pe226_hs_e
EX_CE7083_e,EX_CE7083_e
EX_docohxeth_e,EX_docohxeth_e
EX_elaidcrn_e,EX_elaidcrn_e
EX_HC00900_e,EX_HC00900_e
EX_hexdiac_e,EX_hexdiac_e
EX_hgentis_e,EX_hgentis_e
EX_leuktrB4wcooh_e,EX_leuktrB4wcooh_e
EX_pe2linl_hs_e,EX_pe2linl_hs_e
EX_pear_hs_e,EX_pear_hs_e
EX_pendecaeth_e,EX_pendecaeth_e
EX_lineth_e,EX_lineth_e
PHEMEABCte,PHEMEABCte
EX_lnlccrn_e,EX_lnlccrn_e
EX_Lpipecol_e,EX_Lpipecol_e
EX_pepalm_hs_e,EX_pepalm_hs_e
EX_peste_hs_e,EX_peste_hs_e
EX_pmeth_e,EX_pmeth_e
EX_lthstrl_e,EX_lthstrl_e
EX_maglinl_hs_e,EX_maglinl_hs_e
EX_sebacid_e,EX_sebacid_e
EX_sphmyln180241_hs_e,EX_sphmyln180241_hs_e
EX_magste_hs_e,EX_magste_hs_e
EX_mev__R_e,EX_mev__R_e
EX_sphmyln18114_hs_e,EX_sphmyln18114_hs_e
EX_sphmyln18115_hs_e,EX_sphmyln18115_hs_e
EX_pailpalm_hs_e,EX_pailpalm_hs_e
EX_pailste_hs_e,EX_pailste_hs_e
EX_sphmyln18116_hs_e,EX_sphmyln18116_hs_e
EX_pchol2linl_hs_e,EX_pchol2linl_hs_e
EX_pchol2ole_hs_e,EX_pchol2ole_hs_e
EX_pchol2palm_hs_e,EX_pchol2palm_hs_e
EX_pcholar_hs_e,EX_pcholar_hs_e
EX_sphmyln181181_hs_e,EX_sphmyln181181_hs_e
EX_sphmyln18120_hs_e,EX_sphmyln18120_hs_e
EX_sphmyln18121_hs_e,EX_sphmyln18121_hs_e
EX_sphmyln18122_hs_e,EX_sphmyln18122_hs_e
EX_sphmyln181221_hs_e,EX_sphmyln181221_hs_e
EX_subeac_e,EX_subeac_e
GALTt,GALTt
EX_tetdeca511ac_e,EX_tetdeca511ac_e
PPASMCT1,PPASMCT1
EX_thrnt_e,EX_thrnt_e
GLYC2Pte,GLYC2Pte
GLYCLTt,GLYCLTt
HC00319t2,HC00319t2
HC00900t1,HC00900t1
EX_ttdcrn_e,EX_ttdcrn_e
EX_txb2_e,EX_txb2_e
EX_wharachd_e,EX_wharachd_e
HC00900t2,HC00900t2
HC00900t3,HC00900t3
EX_xolest181_hs_e,EX_xolest181_hs_e
PROPAT4te,PROPAT4te
EX_xolest182_hs_e,EX_xolest182_hs_e
HC00900t4,HC00900t4
HEXDECEETH,HEXDECEETH
EX_xolest204_hs_e,EX_xolest204_hs_e
FORGLUt,FORGLUt
HEXDIACATP,HEXDIACATP
PYRSMCT1,PYRSMCT1
HGENTISt,HGENTISt
HMCRNt,HMCRNt
HXCOAx,HXCOAx
RETABCtc,RETABCtc
LCYSTt,LCYSTt
LEUKTRB4WCOOHt,LEUKTRB4WCOOHt
LEUKTRB4WOHt,LEUKTRB4WOHt
EX_achom__L_e,EX_achom__L_e
PHACGLYt,PHACGLYt
EX_phacgly_e,EX_phacgly_e
ESTRIOLATP,ESTRIOLATP
r1528,r1528
EX_3moxtyr_e,EX_3moxtyr_e
EX_alltn_e,EX_alltn_e
EX_glyc2p_e,EX_glyc2p_e
LEUKTRB4WOHtr,LEUKTRB4WOHtr
LNLCCRNtd,LNLCCRNtd
LPIPECOLt,LPIPECOLt
EX_glyclt_e,EX_glyclt_e
SERB0AT3tc,SERB0AT3tc
EX_oaa_e,EX_oaa_e
EX_phlac_e,EX_phlac_e
EX_ttdcea_e,EX_ttdcea_e
LTHSTRLABCt,LTHSTRLABCt
MI1Pt,MI1Pt
NWHARGtd,NWHARGtd
TTDCEAt,TTDCEAt
SRTNENT4tc,SRTNENT4tc
7KLITCHOLc,7KLITCHOLc
HC02197c,HC02197c
HC02198c,HC02198c
EX_alaargcys_e,EX_alaargcys_e
DCHOLESTANCOAc,DCHOLESTANCOAc
HC02195te,HC02195te
HC02196te,HC02196te
PEPALM,PEPALM
PSERtr,PSERtr
STEETH,STEETH
TETDECA511ACt,TETDECA511ACt
TETDECAETH,TETDECAETH
TXB2c,TXB2c
TXB2t,TXB2t
ACILEtm,ACILEtm
ACLEUm,ACLEUm
ACLEUtm,ACLEUtm
EX_acleu__L_e,EX_acleu__L_e
HC02220te,HC02220te
G3PD1irm,G3PD1irm
DM_k_c,DM_k_c
BZCOAFm,BZCOAFm
BGLYFm,BGLYFm
PHACCOAGLYACm,PHACCOAGLYACm
PHEACGLYsec,PHEACGLYsec
ACHOMtm,ACHOMtm
ACHOMte,ACHOMte
PCRESOLup,PCRESOLup
EX_alaarggly_e,EX_alaarggly_e
EX_pheacgly_e,EX_pheacgly_e
EX_bz_e,EX_bz_e
EX_alaglylys_e,EX_alaglylys_e
EX_pcresol_e,EX_pcresol_e
EX_pcs_e,EX_pcs_e
NORMETEt,NORMETEt
EX_hisargser_e,EX_hisargser_e
EX_hiscyscys_e,EX_hiscyscys_e
EX_alahisala_e,EX_alahisala_e
EX_hisglu_e,EX_hisglu_e
C05300t,C05300t
RETINALt,RETINALt
MALTTTRt,MALTTTRt
1MNCAMt,1MNCAMt
EX_hisglugln_e,EX_hisglugln_e
EX_hislysala_e,EX_hislysala_e
EX_hislysglu_e,EX_hislysglu_e
EX_C05300_e,EX_C05300_e
EX_argalaala_e,EX_argalaala_e
EX_retinal_e,EX_retinal_e
EX_1mncam_e,EX_1mncam_e
EX_progly_e,EX_progly_e
EX_dhbpt_e,EX_dhbpt_e
EX_hislysthr_e,EX_hislysthr_e
EX_hislysval_e,EX_hislysval_e
EX_hismetgln_e,EX_hismetgln_e
EX_hisphearg_e,EX_hisphearg_e
EX_hisprolys_e,EX_hisprolys_e
EX_histrphis_e,EX_histrphis_e
EX_ileargile_e,EX_ileargile_e
EX_argalaphe_e,EX_argalaphe_e
EX_ileasp_e,EX_ileasp_e
EX_ileprolys_e,EX_ileprolys_e
EX_prolyspro_e,EX_prolyspro_e
EX_prophe_e,EX_prophe_e
EX_argalathr_e,EX_argalathr_e
EX_proproarg_e,EX_proproarg_e
EX_propropro_e,EX_propropro_e
EX_leuasnasp_e,EX_leuasnasp_e
EX_leuasplys_e,EX_leuasplys_e
EX_protrplys_e,EX_protrplys_e
EX_provalgln_e,EX_provalgln_e
EX_leuleutrp_e,EX_leuleutrp_e
EX_argarg_e,EX_argarg_e
EX_leuproarg_e,EX_leuproarg_e
EX_leusertrp_e,EX_leusertrp_e
EX_serlyshis_e,EX_serlyshis_e
EX_thrglntyr_e,EX_thrglntyr_e
EX_thrphearg_e,EX_thrphearg_e
EX_thrserarg_e,EX_thrserarg_e
EX_leutrp_e,EX_leutrp_e
EX_thrthrarg_e,EX_thrthrarg_e
EX_leuval_e,EX_leuval_e
EX_thrtyrmet_e,EX_thrtyrmet_e
EX_lysargleu_e,EX_lysargleu_e
EX_argarglys_e,EX_argarglys_e
EX_lyscyshis_e,EX_lyscyshis_e
EX_lysglnphe_e,EX_lysglnphe_e
EX_lystrparg_e,EX_lystrparg_e
EX_lysvalphe_e,EX_lysvalphe_e
EX_trpargala_e,EX_trpargala_e
EX_trpglngln_e,EX_trpglngln_e
EX_trpglugly_e,EX_trpglugly_e
EX_trpglupro_e,EX_trpglupro_e
EX_trpglyleu_e,EX_trpglyleu_e
EX_trpglyphe_e,EX_trpglyphe_e
EX_trpilelys_e,EX_trpilelys_e
EX_trpiletrp_e,EX_trpiletrp_e
EX_trpleuval_e,EX_trpleuval_e
EX_metglntyr_e,EX_metglntyr_e
EX_metphearg_e,EX_metphearg_e
EX_pheasnmet_e,EX_pheasnmet_e
EX_pheasp_e,EX_pheasp_e
EX_pheleuasp_e,EX_pheleuasp_e
EX_pheleuhis_e,EX_pheleuhis_e
EX_trplys_e,EX_trplys_e
EX_trpmetval_e,EX_trpmetval_e
EX_trptyrgln_e,EX_trptyrgln_e
EX_phelyspro_e,EX_phelyspro_e
EX_phephethr_e,EX_phephethr_e
EX_pheproarg_e,EX_pheproarg_e
EX_trptyrtyr_e,EX_trptyrtyr_e
EX_phesertrp_e,EX_phesertrp_e
EX_tyrargser_e,EX_tyrargser_e
EX_argcysgly_e,EX_argcysgly_e
EX_tyrcysthr_e,EX_tyrcysthr_e
EX_tyrleuarg_e,EX_tyrleuarg_e
EX_tyrphetyr_e,EX_tyrphetyr_e
EX_tyrthr_e,EX_tyrthr_e
EX_tyrtrpphe_e,EX_tyrtrpphe_e
EX_tyrtyr_e,EX_tyrtyr_e
EX_tyrvalmet_e,EX_tyrvalmet_e
EX_valarggly_e,EX_valarggly_e
EX_valhisasn_e,EX_valhisasn_e
EX_valphearg_e,EX_valphearg_e
EX_valprotrp_e,EX_valprotrp_e
EX_valserarg_e,EX_valserarg_e
EX_phetyrgln_e,EX_phetyrgln_e
EX_phetyrlys_e,EX_phetyrlys_e
EX_proargcys_e,EX_proargcys_e
EX_proasncys_e,EX_proasncys_e
EX_proglnpro_e,EX_proglnpro_e
EX_prohis_e,EX_prohis_e
EX_prohistyr_e,EX_prohistyr_e
ALAGLYLYSt,ALAGLYLYSt
ALALYSTHRt,ALALYSTHRt
ARGALAALAt,ARGALAALAt
ARGALAPHEt,ARGALAPHEt
ARGALATHRt,ARGALATHRt
ARGARGt,ARGARGt
ARGARGLYSt,ARGARGLYSt
ARGARGMETt,ARGARGMETt
ARGCYSSERt,ARGCYSSERt
ARGGLUPROt,ARGGLUPROt
ARGHISTHRt,ARGHISTHRt
ARGPROMETt,ARGPROMETt
ARGPROTHRt,ARGPROTHRt
GLNPROGLUt,GLNPROGLUt
GLNTRPGLUt,GLNTRPGLUt
GLNTYRLEUt,GLNTYRLEUt
GLUARGLEUt,GLUARGLEUt
GLUASNLEUt,GLUASNLEUt
GLUGLUt,GLUGLUt
GLUILELYSt,GLUILELYSt
GLUMETt,GLUMETt
GLUMETHISt,GLUMETHISt
ASNASNARGt,ASNASNARGt
ASPALAARGt,ASPALAARGt
ASPASNGLUt,ASPASNGLUt
ASPGLUPROt,ASPGLUPROt
ASPGLUTRPt,ASPGLUTRPt
ASPHISCYSt,ASPHISCYSt
ASPHISPROt,ASPHISPROt
ASPLYSGLUt,ASPLYSGLUt
ASPLYSHISt,ASPLYSHISt
GLUTHRLYSt,GLUTHRLYSt
GLYVALHISt,GLYVALHISt
HISASPt,HISASPt
HISGLNALAt,HISGLNALAt
HISGLYLYSt,HISGLYLYSt
HISLYSALAt,HISLYSALAt
HISLYSILEt,HISLYSILEt
ASPMETASPt,ASPMETASPt
ASPPROLYSt,ASPPROLYSt
ASPVALASNt,ASPVALASNt
CYSASNMETt,CYSASNMETt
HISLYSVALt,HISLYSVALt
EX_argglupro_e,EX_argglupro_e
HISMETt,HISMETt
CYSASPPHEt,CYSASPPHEt
CYSGLUHISt,CYSGLUHISt
CYSGLUTRPt,CYSGLUTRPt
CYSLEUTHRt,CYSLEUTHRt
EX_argglygly_e,EX_argglygly_e
CYSSERMETt,CYSSERMETt
EX_argphearg_e,EX_argphearg_e
ILEASNHISt,ILEASNHISt
ILEGLYARGt,ILEGLYARGt
ILEPROLYSt,ILEPROLYSt
ILESERARGt,ILESERARGt
LEUASNASPt,LEUASNASPt
LEUASPLYSt,LEUASPLYSt
LEUPROt,LEUPROt
GLNHISLYSt,GLNHISLYSt
EX_argpromet_e,EX_argpromet_e
LEUPROARGt,LEUPROARGt
LEUTRPt,LEUTRPt
EX_argprothr_e,EX_argprothr_e
LEUTRPARGt,LEUTRPARGt
LEUVALt,LEUVALt
EX_argtyrval_e,EX_argtyrval_e
LYSARGLEUt,LYSARGLEUt
EX_argvalcys_e,EX_argvalcys_e
SERTRPHISt,SERTRPHISt
LYSGLNPHEt,LYSGLNPHEt
EX_argvaltrp_e,EX_argvaltrp_e
LYSGLUGLUt,LYSGLUGLUt
LYSLYSLYSt,LYSLYSLYSt
LYSTYRILEt,LYSTYRILEt
THRHISHISt,THRHISHISt
EX_asnasnarg_e,EX_asnasnarg_e
THRILEARGt,THRILEARGt
THRPHEARGt,THRPHEARGt
LYSVALPHEt,LYSVALPHEt
METARGLEUt,METARGLEUt
METGLNTYRt,METGLNTYRt
THRSERARGt,THRSERARGt
THRTYRMETt,THRTYRMETt
TRPARGALAt,TRPARGALAt
METGLYARGt,METGLYARGt
TRPASPASPt,TRPASPASPt
TRPGLNGLNt,TRPGLNGLNt
TRPGLUGLYt,TRPGLUGLYt
TRPGLULEUt,TRPGLULEUt
TRPGLUTYRt,TRPGLUTYRt
METTRPPHEt,METTRPPHEt
PHEASNMETt,PHEASNMETt
PHEASPt,PHEASPt
PHELEUt,PHELEUt
PHELEUASPt,PHELEUASPt
PHELEUHISt,PHELEUHISt
TRPGLYPHEt,TRPGLYPHEt
TRPGLYVALt,TRPGLYVALt
TRPILETRPt,TRPILETRPt
PHELYSALAt,PHELYSALAt
PHELYSPROt,PHELYSPROt
EX_asncyscys_e,EX_asncyscys_e
PHEPHEASNt,PHEPHEASNt
PHEPHETHRt,PHEPHETHRt
TRPLEUVALt,TRPLEUVALt
TRPMETARGt,TRPMETARGt
TRPPHEt,TRPPHEt
TRPPROLEUt,TRPPROLEUt
TRPSERTYRt,TRPSERTYRt
PHETHRLYSt,PHETHRLYSt
PHETYRGLNt,PHETYRGLNt
PROARGASPt,PROARGASPt
PROASNCYSt,PROASNCYSt
TRPTHRILEt,TRPTHRILEt
TRPTHRTYRt,TRPTHRTYRt
TRPTYRGLNt,TRPTYRGLNt
PROGLNPROt,PROGLNPROt
PROHISt,PROHISt
PROHISTYRt,PROHISTYRt
PROLEUARGt,PROLEUARGt
PROLYSPROt,PROLYSPROt
TRPVALASPt,TRPVALASPt
TYRALAt,TYRALAt
TYRASPARGt,TYRASPARGt
TYRGLUt,TYRGLUt
TYRLEUARGt,TYRLEUARGt
TYRPHETYRt,TYRPHETYRt
PROPROPROt,PROPROPROt
PROTRPTHRt,PROTRPTHRt
SERARGTRPt,SERARGTRPt
TYRVALMETt,TYRVALMETt
SERLYSHISt,SERLYSHISt
VALARGGLYt,VALARGGLYt
EX_asnpheasp_e,EX_asnpheasp_e
VALHISASNt,VALHISASNt
EX_asnphecys_e,EX_asnphecys_e
VALLYSTYRt,VALLYSTYRt
EX_asntyrthr_e,EX_asntyrthr_e
VALPROTRPt,VALPROTRPt
GLYLYSPHEr,GLYLYSPHEr
VALTRPPHEt,VALTRPPHEt
EX_aspglu_e,EX_aspglu_e
VALVALt,VALVALt
ALAARGCYSr,ALAARGCYSr
GLYTYRLYSr,GLYTYRLYSr
GLYVALHISr,GLYVALHISr
HISGLUr,HISGLUr
HISGLUGLNr,HISGLUGLNr
HISHISLYSr,HISHISLYSr
ALAARGGLYr,ALAARGGLYr
ALAASNLEUr,ALAASNLEUr
ALAGLYLYSr,ALAGLYLYSr
ALAHISALAr,ALAHISALAr
ARGALAALAr,ARGALAALAr
ARGALATHRr,ARGALATHRr
HISLYSILEr,HISLYSILEr
HISLYSTHRr,HISLYSTHRr
HISLYSVALr,HISLYSVALr
HISMETGLNr,HISMETGLNr
HISTRPHISr,HISTRPHISr
ILEARGILEr,ILEARGILEr
ILEGLNGLUr,ILEGLNGLUr
ILEGLYARGr,ILEGLYARGr
ILEPROLYSr,ILEPROLYSr
ILETRPTYRr,ILETRPTYRr
ARGARGLYSr,ARGARGLYSr
ARGARGMETr,ARGARGMETr
ARGLEUPHEr,ARGLEUPHEr
ARGPHEARGr,ARGPHEARGr
LEUASPLYSr,LEUASPLYSr
LEULEUTRPr,LEULEUTRPr
ARGPROMETr,ARGPROMETr
LEUPROr,LEUPROr
LEUPROARGr,LEUPROARGr
ARGPROTHRr,ARGPROTHRr
ARGVALCYSr,ARGVALCYSr
EX_aspglupro_e,EX_aspglupro_e
ASNASNARGr,ASNASNARGr
ASPALAARGr,ASPALAARGr
LEUSERTRPr,LEUSERTRPr
LEUTYRTYRr,LEUTYRTYRr
LYSCYSHISr,LYSCYSHISr
LYSLYSLYSr,LYSLYSLYSr
ASPGLUPROr,ASPGLUPROr
ASPGLUTRPr,ASPGLUTRPr
LYSTRPARGr,LYSTRPARGr
LYSVALPHEr,LYSVALPHEr
METASNTYRr,METASNTYRr
METPHEARGr,METPHEARGr
ASPHISCYSr,ASPHISCYSr
ASPHISPROr,ASPHISPROr
ASPLYSGLUr,ASPLYSGLUr
ASPMETASPr,ASPMETASPr
ASPPROLYSr,ASPPROLYSr
ASPVALASNr,ASPVALASNr
CYSASNMETr,CYSASNMETr
PHELEUr,PHELEUr
PHELEUASPr,PHELEUASPr
PHELEUHISr,PHELEUHISr
PHELYSALAr,PHELYSALAr
PHELYSPROr,PHELYSPROr
CYSASPPHEr,CYSASPPHEr
CYSCYSr,CYSCYSr
EX_asphiscys_e,EX_asphiscys_e
CYSGLUTRPr,CYSGLUTRPr
CYSLEUTHRr,CYSLEUTHRr
CYSSERMETr,CYSSERMETr
PHEPHETHRr,PHEPHETHRr
PHEPROARGr,PHEPROARGr
PHESERTRPr,PHESERTRPr
PROARGCYSr,PROARGCYSr
CYSTYRASNr,CYSTYRASNr
GLNASNGLNr,GLNASNGLNr
PROGLNPROr,PROGLNPROr
GLNLYSLYSr,GLNLYSLYSr
PROHISr,PROHISr
EX_aspvalasn_e,EX_aspvalasn_e
PROHISTYRr,PROHISTYRr
PROLEUARGr,PROLEUARGr
GLNLYSTRPr,GLNLYSTRPr
GLUASNLEUr,GLUASNLEUr
GLUGLUr,GLUGLUr
GLUILELYSr,GLUILELYSr
GLULEUr,GLULEUr
GLUMETr,GLUMETr
GLUTHRLYSr,GLUTHRLYSr
PROLYSPROr,PROLYSPROr
PROPHEr,PROPHEr
PROPROARGr,PROPROARGr
PROPROPROr,PROPROPROr
PROTRPTHRr,PROTRPTHRr
PROVALGLNr,PROVALGLNr
EX_cyssermet_e,EX_cyssermet_e
XOLEST226_HSte,XOLEST226_HSte
EX_cystyrasn_e,EX_cystyrasn_e
PCHOLN281_HSte,PCHOLN281_HSte
ACRNtr,ACRNtr
EX_glnasngln_e,EX_glnasngln_e
ODECRNtr,ODECRNtr
PMTCRNtr,PMTCRNtr
XOLEST183tl,XOLEST183tl
SERCYSARGr,SERCYSARGr
SERGLYGLUr,SERGLYGLUr
SERLYSHISr,SERLYSHISr
SERTRPHISr,SERTRPHISr
THRASNTYRr,THRASNTYRr
THRGLNTYRr,THRGLNTYRr
THRILEARGr,THRILEARGr
XOLEST205tl,XOLEST205tl
PHEACGLYtm,PHEACGLYtm
HXAt1,HXAt1
HXAt2,HXAt2
THRMETARGr,THRMETARGr
THRTYRMETr,THRTYRMETr
HXAt3,HXAt3
EX_hxa_e,EX_hxa_e
TTDCEAc,TTDCEAc
PACCOALm,PACCOALm
PACALDtm,PACALDtm
TRPALAPROr,TRPALAPROr
TRPGLUTYRr,TRPGLUTYRr
TRPGLYVALr,TRPGLYVALr
TRPILETRPr,TRPILETRPr
TRPLEUVALr,TRPLEUVALr
TRPLYSr,TRPLYSr
TRPMETARGr,TRPMETARGr
BZtm,BZtm
TRPPHEr,TRPPHEr
EX_glnhislys_e,EX_glnhislys_e
TRPPROVALr,TRPPROVALr
TRPSERTYRr,TRPSERTYRr
TRPTHRILEr,TRPTHRILEr
TRPTYRGLNr,TRPTYRGLNr
EX_glnproglu_e,EX_glnproglu_e
PA_HStm,PA_HStm
EX_gluargleu_e,EX_gluargleu_e
FldAct,FldAct
TYRALAr,TYRALAr
TYRARGSERr,TYRARGSERr
TYRCYSTHRr,TYRCYSTHRr
TYRGLUr,TYRGLUr
MMALtm,MMALtm
EX_gluasnleu_e,EX_gluasnleu_e
PGPP_hsc,PGPP_hsc
CE2512te,CE2512te
TYRTYRr,TYRTYRr
TYRVALMETr,TYRVALMETr
VALLEUPHEr,VALLEUPHEr
VALPROTRPr,VALPROTRPr
r2514m,r2514m
EX_gluthrlys_e,EX_gluthrlys_e
VALTRPVALr,VALTRPVALr
EX_glutrpala_e,EX_glutrpala_e
TRPGLYASPr,TRPGLYASPr
HOMOVALte,HOMOVALte
XOLEST182_HSte,XOLEST182_HSte
XOLEST205_HSte,XOLEST205_HSte
FAS180,FAS180
5AOPt2,5AOPt2
ACNAMt2,ACNAMt2
CORE5t,CORE5t
EX_glyhisasn_e,EX_glyhisasn_e
CORE8t,CORE8t
ARGt5r,ARGt5r
EX_glylyscys_e,EX_glylyscys_e
CA2t,CA2t
MK7t,MK7t
MK9t,MK9t
SK_adprbp_c,SK_adprbp_c
EX_glylysphe_e,EX_glylysphe_e
SK_bandmt_c,SK_bandmt_c
STN_ANTIGENt,STN_ANTIGENt
EX_core4_e,EX_core4_e
EX_core5_e,EX_core5_e
SK_for_c,SK_for_c
EX_glyvalhis_e,EX_glyvalhis_e
SK_mi1345p_c,SK_mi1345p_c
EX_dsT_antigen_e,EX_dsT_antigen_e
EX_f1a_e,EX_f1a_e
SK_mi134p_c,SK_mi134p_c
SK_mi145p_c,SK_mi145p_c
EX_galam_e,EX_galam_e
DM_pchol_hs_c,DM_pchol_hs_c
EX_gncore1_e,EX_gncore1_e
ETHAt,ETHAt
EX_mqn7_e,EX_mqn7_e
SK_crvnc_c,SK_crvnc_c
r2444,r2444
LPAMt,LPAMt
EX_acgal_e,EX_acgal_e
EX_acnam_e,EX_acnam_e
EX_pcreat_e,EX_pcreat_e
EX_HC00342_e,EX_HC00342_e
EX_CE2934_e,EX_CE2934_e
DM_mqn10_c,DM_mqn10_c
DM_mqn7_c,DM_mqn7_c
DM_mqn8_c,DM_mqn8_c
HCYSte,HCYSte
PPPGO,PPPGO
SPRMt2i,SPRMt2i
THMMPtrbc,THMMPtrbc
THMtrbc,THMtrbc
UNK3,UNK3
ACNAMtr,ACNAMtr
DM_mqn9_c,DM_mqn9_c
GNCORE1t,GNCORE1t
GNCORE2t,GNCORE2t
3HMPtm,3HMPtm
SK_doco13ecoa_c,SK_doco13ecoa_c
ACGLUtm,ACGLUtm
LPAMtm,LPAMtm
r2535m,r2535m
AMPTASECG,AMPTASECG
ARGN,ARGN
CE2934t,CE2934t
ASP1DC,ASP1DC
ESTR2r,ESTR2r
ASPTA,ASPTA
SK_fad_c,SK_fad_c
PGLYCtm,PGLYCtm
SK_25hvitd2_c,SK_25hvitd2_c
SK_9_cis_retfa_c,SK_9_cis_retfa_c
SK_glygn2_c,SK_glygn2_c
